State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Punjab,Bhatinda,Maur,Other,Vegetables,0.70,5700,6000,5800,2019-12-01
Punjab,Ferozpur,Makhu,Other,Vegetables,1.00,2000,4000,3000,2019-12-01
Punjab,Gurdaspur,F.G.Churian,Onion,Vegetables,0.40,4980,5000,4990,2019-12-01
Punjab,Hoshiarpur,Hoshiarpur,Other,Vegetables,9.00,5500,7000,6200,2019-12-01
Punjab,Tarntaran,Patti,Other,Vegetables,0.80,3800,4200,4000,2019-12-01
-,-,-,-,Punjab Sub Total,11.90,-,-,-,
-,-,-,-,Total:-,11.90,-,-,-,
Punjab,Bhatinda,Bhucho,Other,Vegetables,0.10,3500,4000,3800,2019-12-02
Punjab,Ferozpur,Makhu,Other,Vegetables,1.00,2000,4000,3000,2019-12-02
Punjab,Gurdaspur,Batala,Other,Vegetables,23.00,2000,2400,2200,2019-12-02
Punjab,Gurdaspur,F.G.Churian,Onion,Vegetables,0.30,4950,4980,4960,2019-12-02
Punjab,Ludhiana,Samrala,Other,Vegetables,3.00,1800,2200,2000,2019-12-02
Punjab,Pathankot,Pathankot,Onion,Vegetables,30.00,3600,6100,5500,2019-12-02
-,-,-,-,Punjab Sub Total,57.40,-,-,-,
-,-,-,-,Total:-,57.40,-,-,-,
Punjab,Bhatinda,Bhucho,Other,Vegetables,0.10,3500,4000,3800,2019-12-03
Punjab,Ferozpur,Makhu,Other,Vegetables,0.50,2000,4000,3000,2019-12-03
Punjab,Hoshiarpur,Hoshiarpur,Other,Vegetables,8.00,5500,7000,6200,2019-12-03
Punjab,Pathankot,Pathankot,Onion,Vegetables,27.50,5000,7000,6000,2019-12-03
-,-,-,-,Punjab Sub Total,36.10,-,-,-,
-,-,-,-,Total:-,36.10,-,-,-,
Punjab,Bhatinda,Bhucho,Other,Vegetables,0.10,4000,4500,4200,2019-12-04
Punjab,Ferozpur,Makhu,Other,Vegetables,0.50,2000,4000,3000,2019-12-04
