State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Punjab,Amritsar,Ajnala,Jalander,Vegetables,1.00,1200,1400,1300,2019-12-01
Punjab,Barnala,Barnala,Other,Vegetables,10.00,400,1300,850,2019-12-01
Punjab,Bhatinda,Maur,Other,Vegetables,1.80,1300,1500,1400,2019-12-01
Punjab,Bhatinda,Raman,Other,Vegetables,3.00,1300,1500,1450,2019-12-01
Punjab,Ferozpur,Ferozepur Cantt.,Local,Vegetables,0.25,850,950,900,2019-12-01
Punjab,Ferozpur,Guru Har Sahai,Potato,Vegetables,6.00,700,1200,1000,2019-12-01
Punjab,Ferozpur,Makhu,Other,Vegetables,2.00,800,950,900,2019-12-01
Punjab,Ferozpur,Zira,Potato,Vegetables,1.50,1200,1800,1500,2019-12-01
Punjab,Gurdaspur,Batala,Other,Vegetables,22.80,1100,1300,1200,2019-12-01
Punjab,Gurdaspur,Dhariwal,Other,Vegetables,2.80,600,900,750,2019-12-01
Punjab,Gurdaspur,Dinanagar,Potato,Vegetables,7.50,750,900,800,2019-12-01
Punjab,Hoshiarpur,Dasuya,Other,Vegetables,8.00,800,1300,1300,2019-12-01
Punjab,Hoshiarpur,Hoshiarpur,Other,Vegetables,239.80,1160,1340,1250,2019-12-01
Punjab,Hoshiarpur,Mukerian(Talwara),Potato,Vegetables,0.35,800,1150,900,2019-12-01
Punjab,Jalandhar,Bilga,Other,Vegetables,0.18,1500,1700,1600,2019-12-01
Punjab,Mansa,Mansa,Potato,Vegetables,14.00,500,600,550,2019-12-01
Punjab,Moga,Kot ise Khan,Other,Vegetables,1.00,1600,1800,1700,2019-12-01
Punjab,Mohali,Banur,Other,Vegetables,0.20,1000,1500,1500,2019-12-01
Punjab,Mohali,Banur (Kheragaju),(Red Nanital),Vegetables,0.60,1000,1500,1500,2019-12-01
Punjab,Mohali,Dera Bassi,Other,Vegetables,1.10,1200,1800,1500,2019-12-01
Punjab,Mohali,Kharar,Potato,Vegetables,16.00,1000,1500,1200,2019-12-01
Punjab,Muktsar,Giddarbaha,Potato,Vegetables,5.00,500,700,600,2019-12-01
Punjab,Patiala,Dudhansadhan,Other,Vegetables,0.30,800,1000,900,2019-12-01
Punjab,Patiala,Nabha,Other,Vegetables,22.20,900,1400,1200,2019-12-01
Punjab,Patiala,Patran,Other,Vegetables,12.50,468,1400,500,2019-12-01
